(1,0.8802816901408451)
(3,0.8838028169014085)
(5,0.8838028169014085)
(7,0.8873239436619719)
(9,0.8908450704225352)
(11,0.8908450704225352)
(13,0.8873239436619719)
(15,0.8908450704225352)
(17,0.8908450704225352)
(19,0.8873239436619719)
(21,0.8838028169014085)
(23,0.8908450704225352)
(25,0.8908450704225352)
(27,0.8873239436619719)
(29,0.8873239436619719)
(31,0.8873239436619719)
(33,0.8873239436619719)
(35,0.8873239436619719)
(37,0.8873239436619719)
(39,0.8838028169014085)
(41,0.8838028169014085)
(43,0.8802816901408451)
(45,0.8802816901408451)
(47,0.8802816901408451)
(49,0.8802816901408451)
(51,0.8802816901408451)
