(0,1.0)
(1,0.971830985915493)
(2,0.9577464788732394)
(3,0.9507042253521126)
(4,0.9436619718309859)
(5,0.9507042253521126)
(6,0.9436619718309859)
(7,0.9366197183098591)
(8,0.9366197183098591)
(9,0.9366197183098591)
(10,0.9366197183098591)
(11,0.9366197183098591)
(12,0.9330985915492958)
(13,0.9330985915492958)
(14,0.9366197183098591)
(15,0.9366197183098591)
(16,0.9330985915492958)
(17,0.9366197183098591)
(18,0.9366197183098591)
(19,0.9295774647887324)
(20,0.9330985915492958)
(21,0.9295774647887324)
(22,0.9295774647887324)
(23,0.9295774647887324)
(24,0.9295774647887324)
(25,0.9295774647887324)
